ids,labels,parents
2814,"T-DAT-902 - Use an application development framework",1306
144,"1.2 Evaluating data, information and digital content",139
141,"1.3 Managing data, information and digital content",139
1486,"T-NSA-800 - Supporting a talk with relevant slides",128
1707,"T-PRO-000 - Behaving decently on professional forums",386
252,"4.2 Protecting personal data and privacy",247
126,"0.4 Written Reception",124
140,"1.1 Browsing, searching and filtering data, information and digital content",139
1490,"T-NSA-800 - Answering questions",136
226,"5. Problem solving",
1916,"T-IOT-901 - Producing a clean code",180
131,"0.1 Oral Production",124
133,"0.5 Interaction",124
1581,"T-MAJ-800 - Tuning parameters of a ML algorithm",1390
2257,"T-AIA-902 - Delivering in time",183
231,"5.3 Creatively using digital technologies",226
253,"4.3 Protecting health and well-being",247
1413,"T-DEV-800 - Addressing a clear and organized speech",132
1414,"T-WEB-800 - Addressing a clear and organized speech",132
1415,"T-DEV-800 - Supporting a talk with relevant slides",128
1416,"T-WEB-800 - Supporting a talk with relevant slides",128
1417,"T-DEV-800 - Answering questions",136
1418,"T-WEB-800 - Answering questions",136
1420,"T-DEV-800 - Storing different kinds of data in an appropriate way",142
1422,"T-WEB-800 - Consuming third party API",360
1423,"T-DEV-800 - Images sizes are optimized",422
1424,"T-WEB-800 - Exporting in an adapted format",1366
1426,"T-DEV-800 - Providing a tool to ease data access",1425
1427,"T-WEB-800 - Providing a tool to ease data access",1425
1431,"T-WEB-800 - Sharing roadmaps",1430
2320,"T-CLO-902 - Ensuring data persistence",142
1432,"T-DEV-800 - Using project management tools",175
1671,"T-PRO-000 - Discriminating relevant information",145
1433,"T-WEB-800 - Using project management tools",175
1434,"T-DEV-800 - Delivering in time",183
1435,"T-WEB-800 - Delivering in time",183
1436,"T-DEV-800 - Using a versioning tool",186
1437,"T-WEB-800 - Using a versioning tool",186
1438,"T-DEV-800 - Submitting a clean and well organised delivery",189
1439,"T-WEB-800 - Submitting a clean and well organised delivery",189
1440,"T-DEV-800 - Producing a clean code",180
1441,"T-WEB-800 - Producing a clean code",180
1687,"T-PRO-000 - Reformating data",1366
1442,"T-DEV-800 - Delivering a robust solution",249
1443,"T-WEB-800 - Delivering a robust solution",249
1444,"T-DEV-800 - Writing code documentation",198
1445,"T-WEB-800 - Writing code documentation",198
1446,"T-WEB-800 - Setting a continuous integration process",355
1447,"T-WEB-800 - Overlaying data on a map",1286
1448,"T-WEB-800 - Automating tests launching",1292
1716,"T-PRO-000 - Drawing a use-case diagram",201
1450,"T-DEV-800 - Using an image compression library",1388
1451,"T-WEB-800 - Providing a tool for plain text searching",1388
1453,"T-DEV-800 - Distributing the work along appropriate classes and avoiding extra static methods",210
1454,"T-DEV-800 - Crafting an API",212
1455,"T-WEB-800 - Crafting a transmission protocol between two devices",212
1456,"T-DEV-800 - Transmitting information using an internal API",216
1612,"T-MAJ-800 - Suggesting safety improvements",1397
1808,"T-DIT-700 - Identifying risk factors",1355
1510,"T-NSA-800 - Limiting infra capabilities",1509
1672,"T-PRO-000 - Evaluating the feasability of a solution",377
1599,"T-MAJ-800 - Ensuring devices safety",1317
2258,"T-DAT-902 - Delivering in time",183
1515,"T-NSA-800 - Identyfing anomalies",1330
1516,"T-NSA-800 - Communicate to end-users about failure",259
1517,"T-NSA-800 - Preventing pedago's access",402
248,"4.1 Protecting devices",247
1518,"T-WEB-800 - Automating documentation of coded functions",1289
1519,"T-WEB-800 - Designing a user interface",1245
1807,"T-DIT-700 - Synthetizing a method for change management",410
1430,"2.3.B04 - Facilitate users sharing",157
1887,"T-AIA-901 - Assessing quality of process and results",1232
227,"5.1 Solving technical problems",226
1618,"T-MAJ-800 - Complying with the subject",228
1701,"T-PRO-000 - Facilitating users sharing",1430
1774,"T-PRO-000 - Automating recovery",343
2259,"T-IOT-902 - Respecting delivery requirements",183
1673,"T-PRO-000 - Evaluating a video",417
2100,"T-DIT-901 - Identifying implementation steps",238
2077,"T-VIR-902 - Assisting users in using an application",358
1815,"T-DIT-700 - Crafting a global strategy for change management",1814
1702,"T-PRO-000 - Using specific tools to collaborate as a team",172
1720,"T-PRO-000 - Writing code documentation",198
382,"2.1.B03 - Share work to be reviewed",153
2815,"T-CLO-902 - Aggregating app and system metrics",1425
2264,"T-DAT-902 - Submitting a clean and well organised delivery",189
2280,"T-AIA-902 - Optimizing an algorithm tuning",1390
1600,"T-MAJ-800 - Ensuring database safety",1317
1619,"T-MAJ-800 - Complying with the subject",228
2079,"T-DIT-901 - Addressing a clear and organized speech",132
1814,"5.1.B11 - Define a global strategy",227
1346,"0.3.B06 - Adapt communication scheme to an objective",127
1709,"T-PRO-000 - Behaving constructively on forums",448
1651,"T-PRO-800 - Addressing a clear and organized speech",132
413,"0.4.B01 - Understand given instructions",126
172,"2.4.B01 - Use specific tools to collaborate as a team",171
196,"3.1.B03 - Draw an activity diagram",193
1621,"T-MAJ-800 - Complying with the subject",228
1625,"T-MAJ-800 - Restarting services automatically after incident",343
1727,"T-PRO-000 - Automating generation of documentation",1289
218,"3.4.B01 - Refer to a design pattern",207
1542,"T-MAJ-800 - Choosing relevant monitoring metrics",1362
2073,"T-SEC-902 - Defining highest privilege rights",362
208,"3.4.B02 - Handle events in a HMI",207
1397,"4.2.B07 - Suggest solution to avoid possible safety breach in data",252
341,"5.1.B01 - Guarantee a low MTTR (Mean Time To Recovery)",227
1876,"T-CLO-901 - Configurating hypervisors LAN",281
1521,"T-MAJ-800 - Addressing a clear and organized speech",132
1522,"T-MAJ-800 - Supporting a talk with relevant slides",128
1523,"T-MAJ-800 - Communicating in a professional way",367
1525,"T-MAJ-800 - Documenting infrastructure architecture",277
1528,"T-MAJ-800 - Answering questions",136
1529,"T-MAJ-800 - Arguing one's opinion",134
1530,"T-MAJ-800 - Researching existing technologies and solutions",372
1531,"T-MAJ-800 - Using sensors to collect data",1225
1532,"T-MAJ-800 - Getting relevant 3D-models",1226
1533,"T-MAJ-800 - Suggesting monitoring of the monitoring platform",1355
1556,"T-MAJ-800 - Connecting sensors to cloud infrastructure",1247
1534,"T-MAJ-800 - Taking into account various constraints of a given problem ",1355
1535,"T-MAJ-800 - Sorting alerts severity",145
1536,"T-MAJ-800 - Anticipating scaling issues",377
1527,"T-MAJ-800 - Writing a disaster recovery plan",1488
1703,"T-PRO-000 - Using project management tools",175
2174,"T-PRO-000 - Summing up information from a talk",2113
1734,"T-PRO-000 - Refering to a design pattern",218
1704,"T-PRO-000 - Complying with corporate guidelines",1260
1722,"T-PRO-000 - Creating a synthesis of documents",1384
317,"4.1.B02 - Organize and separate deployments",248
1552,"T-MAJ-800 - Sharing info on forums and such",154
229,"T-DEV-700 - Complying with the subject",228
1738,"T-PRO-000 - Crafting a transmission protocol between two devices",212
1543,"T-MAJ-800 - Storing data",142
1538,"T-MAJ-800 - Assessing produced work",1232
1540,"T-MAJ-800 - Identifying vulnerable artefacts",1234
1537,"T-MAJ-800 - Dealing with unclean data",1230
1539,"T-MAJ-800 - Assessing quality of process and results",1232
1544,"T-MAJ-800 - Monitoring the infrastructure status",290
1545,"T-MAJ-800 - Displaying complex data",290
1546,"T-MAJ-800 - Displaying complex data in a virtual environment",290
1547,"T-MAJ-800 - Consuming third party API",360
1549,"T-MAJ-800 - Centralizing containers management",1236
1550,"T-MAJ-800 - Orchestrating connected devices",1236
1553,"T-MAJ-800 - Setting up top down communication channels with all other team members",380
1555,"T-MAJ-800 - Designing an admin interface",1245
1836,"T-ESP-901 - Providing a final quality assessment process",203
1557,"T-MAJ-800 - Sharing artifacts",1255
1559,"T-MAJ-800 - Using project management tools",175
1624,"T-MAJ-800 - Deploying quickly",342
1551,"T-MAJ-800 - Reformating data in an adapted format",1366
2265,"T-IOT-902 - Submitting a clean and well organised delivery",189
1526,"T-MAJ-800 - Writing synthetical reports",410
1548,"T-MAJ-800 - Enhancing expressiveness of the simulation",1240
1554,"T-MAJ-800 - Designing an intuitive user interface",1245
1745,"T-PRO-000 - Developing using a Javascript framework",312
1562,"T-MAJ-800 - Participating in a code review within the dev group",1561
1592,"T-MAJ-800 - Utilizing an AR framework",1306
179,"3.2 Integrating and re-elaborating digital content",178
1606,"T-MAJ-800 - Keeping environment variables coherent",326
1617,"T-MAJ-800 - Complying with the subject",228
1610,"T-MAJ-800 - Reinforcing access management",330
2266,"T-AIA-902 - Producing a clean code",180
1723,"T-PRO-000 - Creating a large set of files",1386
1666,"T-PRO-000 - Implementing a technology watch",372
328,"4.2.B03 - Strengthen security using a password policy",252
1613,"T-MAJ-800 - Using digital technologies to improve well-being",393
1614,"T-MAJ-800 -  Ensuring connections safety of each component",1323
1615,"T-MAJ-800 - Analyze the impact of the solution on environnement",395
1736,"T-PRO-000 - Organizing a code in logical entities",220
1620,"T-MAJ-800 - Complying with the subject",228
1622,"T-MAJ-800 - Complying with the subject",228
395,"4.4.B01 - Be aware of the environmental impact of digital technologies and their use",254
1882,"T-AIA-901 - Taking into account various constraints of a given problem ",1355
1749,"T-PRO-000 - Developing a complex algorithm",1394
435,"4.4.B02 - Use digital technologies to coppe with environmental issues",254
1724,"T-PRO-000 - Automating deployment",355
1743,"T-PRO-000 - Coding in a functional paradigm-compliant way",255
1752,"T-PRO-000 - Virtuallying isolate components",205
1777,"T-PRO-000 - Defining adminstrators access",362
1780,"T-PRO-000 - Patching vulnerable artefacts",1337
1783,"T-PRO-000 - Writing technical specifications",243
1786,"T-PRO-000 - Organizing a project in several independent components",245
1789,"T-PRO-000 - Taking into account budget and financial aspects of a project",400
1792,"T-PRO-000 - Identifying the most suitable possible data",1637
1809,"T-DIT-700 - Identifying relevant parameters to follow up on",1362
1795,"T-PRO-000 - Breaking unadapted rules",402
1520,"4.1.B08 - Backup a database",248
1631,"T-MAJ-800 - Identifying user needs",352
1627,"T-MAJ-800 - Orchestrating with Docker",344
1628,"T-MAJ-800 - Writing functional specifications",241
2083,"T-DIT-901 - Crafting a synthetic overview",410
326,"4.2.B01 - Keep environment variables coherent",252
2226,"T-IOT-902 - Documenting produced work",277
1629,"T-MAJ-800 - Writing technical specifications",243
160,"2.3.B01 - Take part in community projects",157
343,"5.1.B03 - Automate recovery",227
1633,"T-MAJ-800 - Estimating CLOUD budget needs",400
1634,"T-MAJ-800 - Taking into account the budget and financial aspects of the project",400
1635,"T-MAJ-800 - Benchmarking algorithms",1318
1818,"T-DIT-700 - Celebrating success",1817
1640,"T-MAJ-800 - Adapting wireless transmission to the case",1636
1813,"T-DIT-700 - Creating training session contents",1812
1643,"T-MAJ-800 - Complying with RGPD",1638
2144,"T-ESP-902 - Writing a concise document",410
1644,"T-MAJ-800 - Refering to an IT security framework",1639
1632,"T-MAJ-800 - Taking into account budget and financial aspects of a project",400
1642,"T-MAJ-800 - Placing the sensors at the best possible place",1637
1705,"T-PRO-000 - Participating in a code review",1561
1714,"T-PRO-000 - Producing a clean code",180
1725,"T-PRO-000 - Taking ownership of legacy work",1283
1757,"T-PRO-000 - Backuping a database",1520
1767,"T-PRO-000 - Using digital technologies to improve well-being",393
2175,"T-PRO-000 - Drafting a compelling communication plan",1810
2177,"T-PRO-000 - Publishing on a public platform",2036
1667,"T-PRO-000 - Complying with existing procedures",374
1645,"T-MAJ-800 - Proposing a tutorial and/or a guided tour",358
2268,"T-IOT-902 - Producing a clean code",180
1646,"T-MAJ-800 - Identifying user needs",352
1647,"T-MAJ-800 - Listing training actions",406
1650,"T-MAJ-800 - Assisting users",358
1791,"T-PRO-000 - Adapting wireless transmission to the client needs",1636
1794,"T-PRO-000 - Refering to a standard",1639
2321,"T-CLO-902 - Displaying metrics",290
236,"5.4 Identifying digital competence gaps",226
406,"5.4.B03 - Organize training sessions",236
1706,"T-PRO-000 - Behaving decently on forums",150
1660,"T-PRO-000 - Acknowledging given documents",414
171,"2.4 Collaborating through digital technologies",148
1715,"T-PRO-000 - Delivering a robust solution",249
1726,"T-PRO-000 - Overlaying data",1286
1737,"T-PRO-000 - Distributing the work along appropriate classes and avoiding extra static methods",210
1744,"T-PRO-000 - Developing an authentication method",313
1748,"T-PRO-000 - Recognizing a pattern in an image",1312
1753,"T-PRO-000 - Ensuring code safety",269
1758,"T-PRO-000 - Regulating data transmission channels",1604
2148,"T-ESP-902 - Estimating the amount of work",420
2157,"T-ESP-902 - Providing a final quality assessment process",203
1878,"T-CLO-901 - Complying with AWS VM import procedure",374
1898,"T-IOT-901 - Connecting two distant machines",1247
1561,"2.4.B04 - Participate in a code review",171
2269,"T-AIA-902 - Delivering a robust solution",249
2314,"T-CLO-902 - Answering questions",136
1759,"T-PRO-000 - Keeping environment variables coherent",326
1764,"T-PRO-000 - Securizing communication",331
1754,"T-PRO-000 - Ensuring deployment quality",320
1771,"T-PRO-000 - Complying with specifications",228
1775,"T-PRO-000 - Orchestrating ",344
1778,"T-PRO-000 - Identifying an anomaly",1330
1781,"T-PRO-000 - Fitting an HMI to required functionalities",1476
1784,"T-PRO-000 - Writing non-functional specifications",240
1787,"T-PRO-000 - Proving flexibility and reactivity to client needs",259
1790,"T-PRO-000 - Selecting the most suitable algorithm",1318
1793,"T-PRO-000 - Taking into account legal aspects of a project",1638
402,"5.3.B02 - Break unadapted rules",231
1352,"0.5.B03 - Get an interview with the user",133
1663,"T-PRO-000 - Getting an interview with the user",1352
1665,"T-PRO-000 - Finding non trivial technical points",281
2085,"T-DIT-901 - Analyzing given documents and data to ease decision making",414
2088,"T-DIT-901 - Researching existing technologies and solutions",372
150,"2.5.B01 - Behave decently on forums",149
1661,"T-PRO-800 - Answering questions",136
2327,"T-CLO-902 - Connecting the containers",1249
2354,"T-CLO-902 - Ensuring deployment quality",320
1662,"T-PRO-800 - Arguing one's opinion",134
414,"0.4.B02 - Work out meaning from written documents",126
2316,"T-VIR-901 - Getting relevant 3D-models",1226
1676,"T-PRO-000 - Assessing produced work",1232
1674,"T-PRO-000 - Estimating an amount of work",420
417,"1.2.B03 - Evaluate a video",144
1677,"T-PRO-000 - Evaluating artefacts security using public vulnerabilities databases",1234
1678,"T-PRO-000 - Identifying relevant criteria of analysis",1362
1679,"T-PRO-000 - Keeping data persistent",142
1680,"T-PRO-000 - Creating session tokens",289
1681,"T-PRO-000 - Displaying complex data",290
1682,"T-PRO-000 - Consuming structured data from an external source",360
1708,"T-PRO-000 - Adapting communication to the specific audience",429
1717,"T-PRO-000 - Drawing a class diagram",194
1728,"T-PRO-000 - Automating tests launching",1292
1739,"T-PRO-000 - Transmiting information between two entities",216
1811,"T-DIT-700 - Drafting a compelling communication plan",1810
1819,"T-DIT-700 - Identifying stakeholders",1816
1866,"T-AIA-901 - Writing a data-scientist report",410
1879,"T-IOT-901 - Using sensors to collect data",1225
1684,"T-PRO-000 - Loging data in a file",1238
1718,"T-PRO-000 - Drawing an activity diagram",196
1729,"T-PRO-000 - Automating patching",1297
1740,"T-PRO-000 - Building a unit test",222
1746,"T-PRO-000 - Utilizing an application development framework",1306
1750,"T-PRO-000 - Guaranteeing uptime",315
1760,"T-PRO-000 - Storing safely personal data",327
1765,"T-PRO-000 - Suggesting solution to avoid possible safety breach in data",1397
1755,"T-PRO-000 - Ensuring devices safety",1317
345,"5.1.B05 - Define public access",227
1772,"T-PRO-000 - Guaranteing a low MTTR (Mean Time To Recovery)",341
1776,"T-PRO-000 - Defining public access",345
1779,"T-PRO-000 - Making IP automatically available",1335
1782,"T-PRO-000 - Writing functional specifications",241
2322,"T-VIR-901 - Optimizing 3d objects poly number",422
2176,"T-PRO-000 - Setting up beta tests",2034
1788,"T-PRO-000 - Identifying clients needs",352
1799,"T-PRO-000 - Exploiting vertically vulnerable artefacts",1294
1366,"1.3.B09 - Reformat data",141
2281,"T-DAT-902 - Tuning parameters of an algorithm",1390
169,"2.2.B02 - Give a talk in front of students",164
1801,"T-PRO-000 - Assisting users in using an application",358
1802,"T-PRO-000 - Recruiting the proper coworkers to fit a team",404
1803,"T-PRO-000 - Organizing training sessions",406
1804,"T-PRO-000 - Facilitating newbies integration",1273
1806,"T-PRO-000 - Facilitating product acceptance",1648
2291,"T-AIA-902 - Complying with the subject",228
1805,"T-PRO-000 - Identifying required skills ",1411
2112,"T-EPI-000 - Addressing a clear and organized speech",132
1820,"T-DIT-700 - Drafting an adapted training plan",1411
2184,"T-PRO-000 - Identifying stakeholders",1816
237,"5.2 Identifying needs and technological responses",226
125,"0.2 Oral Reception",124
1230,"1.2.B05 - Evaluate the quality of digital content",144
404,"5.4.B02 - Recruit the proper coworkers to fit a team",236
1901,"T-DAT-901 - Using project management tools",175
2816,"T-CLO-902 - Developing an authentication method",313
313,"3.4.B11 - Develop an authentication method",207
1295,"5.3.B07 - Exploit lateraly vulnerable artefacts",231
1893,"T-AIA-901 - Displaying complex data",290
2270,"T-DAT-902 - Delivering a robust solution",249
1890,"T-IOT-901 - Keeping data persistent",142
1306,"3.4.B13 - Utilize an application development framework",207
1900,"T-IOT-901 - Using project management tools",175
1902,"T-CLO-901 - Using project management tools",175
1908,"T-IOT-901 - Using a versioning tool",186
2299,"T-DAT-902 - Selecting the most suitable algorithm",1318
2127,"T-EPI-000 - Engaging in extra curricular activities",158
2129,"T-EPI-000 - Complying with corporate guidelines",1260
2101,"T-DIT-901 - Proving flexibility and reactivity to client needs",259
2089,"T-DIT-901 - Appraising obstacles",1355
1225,"1.1.B05 - Get data from an external device",140
1309,"3.4.B14 - Produce fast code",207
2317,"T-VIR-901 - Anticipating XR pain points",1355
1883,"T-AIA-901 - Discriminating relevant information",145
1888,"T-DAT-901 - Identifying relevant topics and statistics",1362
2325,"T-CLO-902 - Centralizing containers management",1236
1868,"T-CLO-901 - Answering questions",136
2271,"T-IOT-902 - Delivering a robust solution",249
1903,"T-AIA-901 - Using project management tools",175
1904,"T-IOT-901 - Delivering in time",183
2123,"T-EPI-000 - Creating a tutorial",165
1247,"2.1.B05 - Connect two distant machines",153
1889,"T-AIA-901 - Choosing relevant metrics",1362
1894,"T-IOT-901 - Consuming structured data from an external source",360
1909,"T-DAT-901 - Using a versioning tool",186
1910,"T-CLO-901 - Using a versionning tool",186
1911,"T-AIA-901 - Using a versioning tool",186
1912,"T-IOT-901 - Submitting a clean and well organised delivery",189
1917,"T-DAT-901 - Producing a clean code",180
2335,"T-CLO-902 - Delivering in time",183
2323,"T-CLO-902 - Aggregating and displaying logs",1238
2087,"T-DIT-901 - Arguing one's opinion",134
2309,"T-VIR-901 - Supporting a talk with relevant slides",128
2324,"T-VIR-901 - Enhancing expressiveness of the simulation",1240
2310,"T-CLO-902 - Supporting a talk with relevant slides",128
2319,"T-CLO-902 - Evaluating Helm artefacts security",1234
1891,"T-CLO-901 - Managing statefiles",142
1899,"T-CLO-901 - Setting up an IaaS",1247
1896,"T-DAT-901 - Reformatting the data",1366
1914,"T-DAT-901 - Submitting a clean and well organised delivery",189
214,"3.4.B08 - Build a full unit test coverage",207
224,"3.4.B09 - Build a functional test sequence",207
1833,"T-ESP-901 - Using a versioning tool",186
1834,"T-ESP-901 - Submitting a clean and well organised delivery",189
1835,"T-ESP-901 - Producing a clean code",180
1839,"T-ESP-901 - Automating generation of documentation",1289
1840,"T-ESP-901 - Automating tests launching",1292
1843,"T-ESP-901 - Complying with the subject",228
1844,"T-ESP-901 - Proving flexibility and reactivity to client needs",259
1845,"T-ESP-901 - Refering to a standard",1639
1846,"T-ESP-901 - Assisting users in using an application",358
1847,"T-ESP-901 - Facilitating newbies integration",1273
2102,"T-DIT-901 - Translating user needs",352
1920,"T-IOT-901 - Delivering a robust solution",249
1232,"1.2.B06 - Assess produced work",144
2318,"T-VIR-901 - Assessing objectively produced work",1232
184,"T-DEV-700 - Delivering in time",183
1853,"T-WEB-700 - Centralizing containers management",1236
2128,"T-EPI-000 - Participating in a social action",1372
2159,"T-ESP-902 - Automating deployment process",355
2178,"T-PRO-000 - Writing formative documents",1812
1812,"3.1.B09 - Write formative documents ",193
1913,"T-CLO-901 - Submitting a clean and well organised delivery",189
1915,"T-AIA-901 - Submitting a clean and well organised delivery",189
1852,"T-DEV-700 - Identifying user needs",352
2164,"T-ESP-902 - Building a functional test sequence",224
2179,"T-PRO-000 - Using a SDK",2052
2182,"T-PRO-000 - Defining strategical scenario",1814
1850,"T-ESP-901 - Taking into account the budget and financial aspects of the project",400
1851,"T-ESP-901 - Taking into account legal aspects of a project",1638
1848,"T-ESP-901 - Identifying skills needed to complete the project",1411
1849,"T-ESP-901 - Facilitating product acceptance",1648
2103,"T-DIT-901 - Taking into account the budget and financial aspects of the project",400
2104,"T-DIT-901 - Foreseeing legal pitfalls of a project",1638
2034,"2.4.B06 - Set up beta tests",171
2201,"T-MAJ-800 - Identifying the legal constraints",389
1918,"T-AIA-901 - Producing a clean code",180
1923,"T-IOT-901 - Drawing a class diagram",194
1926,"T-AIA-901 -  Batch creating texts for training",1386
1386,"3.1.B08 - Create a large set of files",193
1925,"T-CLO-901 - Writing documentation",198
1924,"T-CLO-901 - Providing a high availability assessment process",203
1927,"T-CLO-901 - Automating deployment process",355
2180,"T-PRO-000 - Performing cross-plateform compilation",2060
1929,"T-IOT-901 - Automating documentation of coded functions",1289
1930,"T-IOT-901 - Automating tests launching",1292
1933,"T-IOT-901 - Using libraries",1388
2090,"T-DIT-901 - Prioritizing functionalities implementatio",145
2105,"T-DIT-901 - Refering to a risk management framework",1639
2216,"T-MAJ-800 - Using an IoT device with creativity",1290
1638,"5.2.B12 - Take into account legal aspects of a project",237
194,"3.1.B02 - Draw a class diagram",193
1934,"T-AIA-901 - Using libraries",1388
1935,"T-DAT-901 - Optimizing an algorithm tuning",1390
1390,"3.2.B08 - Optimize an algorithm tuning",179
1939,"T-IOT-901 - Transmitting information between two entities",216
1940,"T-IOT-901 - Building a full unit test coverage",214
1941,"T-IOT-901 - Building a functional test sequence",224
1944,"T-DAT-901 - Implementing feature reduction (PCA)",1394
1946,"T-CLO-901 - Guaranteeing uptime migrating VMs",315
1968,"T-DAT-901 - Extracting new features from initial dataset",1290
1936,"T-AIA-901 - Optimizing an algorithm tuning",1390
1943,"T-AIA-901 - Accelerating algorithm training",1309
1945,"T-AIA-901 - Implementing a complex NLP algorithm",1394
1932,"T-DAT-901 - Using libraries",1388
1965,"T-DAT-901 - Discriminating operable data",1637
331,"4.2.B06 - Securize communication",252
1487,"T-NSA-800 - Documenting produced work",277
1950,"T-CLO-901 - Granting specific access levels",330
1953,"T-IOT-901 - Complying with the subject",228
1937,"T-DAT-901 - Organizing a code in logical entities",220
2282,"T-AIA-902 - Organizing a code in logical entities",220
1956,"T-CLO-901 - Guaranteeing a fast AWS deployment",341
1959,"T-IOT-901 - Identifying an anomaly",1330
1960,"T-AIA-901 - Identifying incorrect input",1330
1966,"T-AIA-901 - Getting relevant data to fit the project needs",1637
1961,"T-IOT-901 - Organizing a project in several independant components",245
1962,"T-IOT-901 - Taking into account the budget and financial aspects of the project",400
2329,"T-CLO-902 - Sharing artifacts",1255
1964,"T-DAT-901 - Selecting the most suitable algorithm",1318
1967,"T-IOT-901 - Suggesting improvements/Adding features",442
1949,"T-CLO-901 - Replicating databases",1520
1951,"T-CLO-901 - Installing SSL certificates",331
1955,"T-AIA-901 - Complying with specifications",228
1963,"T-AIA-901 - Benchmarking algorithms",1318
1942,"T-DAT-901 - Producing fast code",1309
1952,"T-DAT-901 - Complying with specifications",228
2183,"T-PRO-000 - Drawing lessons from experience",1817
2283,"T-DAT-902 - Organizing a code in logical entities",220
2092,"T-DIT-901 - Using project management tools",175
2106,"T-DIT-901 - Celebrating success",1817
2351,"T-VIR-901 - Designing the code to easily add new device",2061
2293,"T-IOT-902 - Complying with the subject",228
2307,"T-CLO-902- Addressing a clear and organized speech",132
1972,"T-DIT-902 - Supporting a talk with relevant slides",128
1973,"T-DIT-902 - Synthetizing elements through a matrix",410
1974,"T-DIT-902 - Formalizing a functional chain of actors and interdependencies",414
1975,"T-DIT-902 - Answering questions",136
1976,"T-DIT-902 - Identifying technical added value of innovation",281
1977,"T-DIT-902 - Researching existing technologies and solutions",372
1978,"T-DIT-902 - Previewing technical challenges",1355
1979,"T-DIT-902 - Identifying risks",1355
1980,"T-DIT-902 - Drafting a SWOT analysis",145
1981,"T-DIT-902 - Discriminating relevant information",145
1982,"T-DIT-902 - Drawing conclusions from a SWOT analysis",377
1983,"T-DIT-902 - Identifying relevant criteria of analysis",1362
1969,"T-CLO-901 - Orchestrating deployments and updates",344
1958,"T-DAT-901 - Identifying an anomaly",1330
1970,"T-CLO-901 - Monitoring infrastructure for anomalies",1330
1984,"T-DIT-902 - Transposing information into a matrix",1366
1985,"T-DIT-902 - Analyzing company information system assets",1425
1986,"T-DIT-902 - Using project management tools",175
1987,"T-DIT-902 - Delivering in time",183
1988,"T-DIT-902 - Mindmapping an ecosystem",1384
1989,"T-DIT-902 - Integrating an innovation into an existing solution",1582
1990,"T-DIT-902 - Suggesting data security improvements",1397
1991,"T-DIT-902 - Complying with the subject",228
1992,"T-DIT-902 - Defining strategical scenario",1814
1993,"T-DIT-902 - Identifying integration steps",238
1582,"3.2.B09 - Homogenize the components",179
2170,"T-ESP-902 - Assisting users in using an application",358
2181,"T-PRO-000 - Respecting the Open-closed principle (from S.O.L.I.D.)",2061
2185,"T-PRO-000 - Investigating product acceptance",2000
2002,"T-LAW-900 - Writing a legal feasability report",410
2003,"T-LAW-900 - Adapting communication scheme to an objective",1346
1994,"T-DIT-902 - Identifying several blocks inside one single big project",245
1995,"T-DIT-902 - Identifying financial added value of innovation",400
1996,"T-DIT-902 - Taking measure of the financial impact of a project",400
1997,"T-DIT-902 - Foreseeing legal pitfalls of a project",1638
1998,"T-DIT-902 - Identifying payment process stakeholders",1816
1999,"T-DIT-902 - Outlining an innovation strategy",442
2001,"T-DIT-902 - Identifying human added value of innovation",2000
377,"1.2.B02 - Evaluate the feasability of a solution",144
2132,"T-EPI-000 - Publishing on a public platform",2036
175,"2.4.B02 - Use project management tools",171
220,"3.4.B03 - Organize a code in logical entities",207
1318,"5.2.B09 - Select the most suitable algorithm",237
2004,"T-LAW-900 - Complying with RGPD",374
2005,"T-LAW-900 - Keeping a legal watch",389
2006,"T-LAW-900 - Taking into account legal aspects of a project",1638
2009,"T-ESP-700 - Arguing one's opinion",134
2010,"T-ESP-700 - Evaluating a video",1230
2011,"T-ESP-700 - Behaving decently on forums",150
2012,"T-ESP-700 - Promoting through Moodle forum",1263
2118,"T-EPI-000 - Documenting produced work",277
2008,"T-ESP-700 - Composing a complementary team",1411
2013,"T-ESP-700 - Answering questions relevantly",136
283,"T-NSA-700 - Finding how to deploy angular2+ application",281
282,"T-NSA-700 - Locating frontend and backend logs",280
1492,"T-NSA-800 - Suggesting performance improvements",1355
2000,"5.4.B07 - Investigate product acceptance",236
1827,"T-ESP-901 - Estimating the amount of work",420
2007,"T-ESP-700 - Video-teasing a project.",1346
2019,"T-SEC-902 - Writing a professional report",277
2017,"T-SEC-902 - Supporting a talk with relevant slides",128
2016,"T-VIR-902 - Supporting a talk with relevant slides",128
2020,"T-VIR-902 - Answering questions",136
2014,"T-VIR-902 - Addressing a clear and organized speech",132
1493,"T-NSA-800 - Finding useful info among documentation",145
2035,"T-VIR-902 - Setting up beta tests",2034
2232,"T-AIA-902 - Arguing one's opinion",134
2116,"T-EPI-000 - Communicating outside your company or school",367
2119,"T-EPI-000 - Adapting communication scheme to an objective",1346
1810,"2.4.B05 - Define communication requirements",171
2093,"T-DIT-901 - Drafting a compelling communication plan",1810
2026,"T-VIR-902 - Monitoring to evaluate playability",1232
2022,"T-VIR-902 - Getting coherent and relevant environment",1226
2027,"T-SEC-902 - Testing robustness",1232
2028,"T-SEC-902 - Inventoring and looking for potential CVEs",1234
2029,"T-SEC-902 - Displaying data using graphics",290
2033,"T-SEC-902 - Using project management tools",175
2025,"T-SEC-902 - Indentifying state of the art security measures",145
2032,"T-VIR-902 - Using project management tools",175
